EstacaoCodigo;Data;Maxima(cm);Minima(cm);Media(cm)
58425000;01/11/2025;150;116;128
58425000;01/10/2025;280;110;134
58425000;01/09/2025;130;112;123
58425000;01/08/2025;142;124;129
58425000;01/07/2025;148;124;130
58425000;01/06/2025;156;124;131
58425000;01/05/2025;160;134;144
58425000;01/04/2025;482;132;194
58425000;01/02/2025;250;110;149
58425000;01/01/2025;280;141;176
58425000;01/12/2024;310;130;174
58425000;01/11/2024;318;10;115
58425000;01/10/2024;114;2;26
58425000;01/09/2024;66;6;16
58425000;01/08/2024;70;10;24
58425000;01/07/2024;58;10;30
58425000;01/06/2024;48;28;34
58425000;01/05/2024;78;34;43
58425000;01/04/2024;102;48;67
58425000;01/03/2024;376;58;117
58425000;01/02/2024;178;60;86
58425000;01/01/2024;298;39;97
58425000;01/12/2023;92;30;39
58425000;01/11/2023;346;32;62
58425000;01/10/2023;236;26;55
58425000;01/09/2023;56;14;33
58425000;01/08/2023;68;24;36
58425000;01/07/2023;54;29;36
58425000;01/06/2023;60;34;41
58425000;01/05/2023;70;40;51
58425000;01/04/2023;176;54;71
58425000;01/03/2023;122;58;75
58425000;01/02/2023;244;70;105
58425000;01/01/2023;292;76;128
58425000;01/12/2022;218;40;78
58425000;01/11/2022;160;36;67
58425000;01/10/2022;76;28;43
58425000;01/09/2022;106;28;44
58425000;01/08/2022;136;26;38
58425000;01/07/2022;56;28;33
58425000;01/06/2022;70;32;41
58425000;01/05/2022;62;38;50
58425000;01/04/2022;240;56;82
58425000;01/03/2022;378;46;88
58425000;01/02/2022;276;78;144
58425000;01/01/2022;244;64;126
58425000;01/12/2021;130;40;77
58425000;01/11/2021;178;36;64
58425000;01/10/2021;164;36;61
58425000;01/09/2021;46;8;22
58425000;01/08/2021;54;10;24
58425000;01/07/2021;28;10;17
58425000;01/06/2021;42;8;28
58425000;01/05/2021;80;16;35
58425000;01/04/2021;112;36;55
58425000;01/03/2021;126;36;53
58425000;01/02/2021;308;38;86
58425000;01/01/2021;272;42;90
58425000;01/12/2020;378;42;100
58425000;01/11/2020;166;36;64
58425000;01/10/2020;120;10;22
58425000;01/09/2020;86;6;18
